kind	class	method	param	index	uri	field
<<<<<<< HEAD
METHOD	com.google.gson.internal.LinkedTreeMap$Node	setValue(V)	null	null	/Users/nima/Desktop/docker/benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedTreeMap.java	value
METHOD	com.google.gson.internal.LinkedTreeMap$LinkedTreeMapIterator	nextNode()	null	null	/Users/nima/Desktop/docker/benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedTreeMap.java	next
METHOD	com.google.gson.internal.LinkedTreeMap$LinkedTreeMapIterator	nextNode()	null	null	/Users/nima/Desktop/docker/benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedTreeMap.java	lastReturned
METHOD	com.google.gson.stream.JsonWriter	setIndent(java.lang.String)	null	null	/Users/nima/Desktop/docker/benchmarks/gson/gson/src/main/java/com/google/gson/stream/JsonWriter.java	separator
METHOD	com.google.gson.stream.JsonWriter	setIndent(java.lang.String)	null	null	/Users/nima/Desktop/docker/benchmarks/gson/gson/src/main/java/com/google/gson/stream/JsonWriter.java	separator
METHOD	com.google.gson.stream.JsonWriter	push(int)	null	null	/Users/nima/Desktop/docker/benchmarks/gson/gson/src/main/java/com/google/gson/stream/JsonWriter.java	stack
METHOD	com.google.gson.stream.JsonWriter	name(java.lang.String)	null	null	/Users/nima/Desktop/docker/benchmarks/gson/gson/src/main/java/com/google/gson/stream/JsonWriter.java	deferredName
METHOD	com.google.gson.stream.JsonReader	push(int)	null	null	/Users/nima/Desktop/docker/benchmarks/gson/gson/src/main/java/com/google/gson/stream/JsonReader.java	stack
METHOD	com.google.gson.stream.JsonReader	fillBuffer(int)	null	null	/Users/nima/Desktop/docker/benchmarks/gson/gson/src/main/java/com/google/gson/stream/JsonReader.java	limit
METHOD	com.google.gson.stream.JsonReader	fillBuffer(int)	null	null	/Users/nima/Desktop/docker/benchmarks/gson/gson/src/main/java/com/google/gson/stream/JsonReader.java	pos
METHOD	com.google.gson.internal.LinkedHashTreeMap$Node	setValue(V)	null	null	/Users/nima/Desktop/docker/benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java	value
METHOD	com.google.gson.internal.LinkedHashTreeMap	doubleCapacity()	null	null	/Users/nima/Desktop/docker/benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java	table
METHOD	com.google.gson.internal.LinkedHashTreeMap$AvlBuilder	add(com.google.gson.internal.LinkedHashTreeMap.Node<K,V>)	null	null	/Users/nima/Desktop/docker/benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java	stack
METHOD	com.google.gson.internal.LinkedHashTreeMap$AvlBuilder	add(com.google.gson.internal.LinkedHashTreeMap.Node<K,V>)	null	null	/Users/nima/Desktop/docker/benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java	stack
METHOD	com.google.gson.internal.LinkedHashTreeMap$AvlBuilder	add(com.google.gson.internal.LinkedHashTreeMap.Node<K,V>)	null	null	/Users/nima/Desktop/docker/benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java	stack
METHOD	com.google.gson.internal.LinkedHashTreeMap$LinkedTreeMapIterator	nextNode()	null	null	/Users/nima/Desktop/docker/benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java	next
METHOD	com.google.gson.internal.LinkedHashTreeMap$LinkedTreeMapIterator	nextNode()	null	null	/Users/nima/Desktop/docker/benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java	lastReturned
METHOD	com.google.gson.Gson$FutureTypeAdapter	setDelegate(com.google.gson.TypeAdapter<T>)	null	null	/Users/nima/Desktop/docker/benchmarks/gson/gson/src/main/java/com/google/gson/Gson.java	delegate
METHOD	com.google.gson.GsonBuilder	setVersion(double)	null	null	/Users/nima/Desktop/docker/benchmarks/gson/gson/src/main/java/com/google/gson/GsonBuilder.java	excluder
METHOD	com.google.gson.GsonBuilder	excludeFieldsWithModifiers(int...)	null	null	/Users/nima/Desktop/docker/benchmarks/gson/gson/src/main/java/com/google/gson/GsonBuilder.java	excluder
METHOD	com.google.gson.GsonBuilder	excludeFieldsWithoutExposeAnnotation()	null	null	/Users/nima/Desktop/docker/benchmarks/gson/gson/src/main/java/com/google/gson/GsonBuilder.java	excluder
METHOD	com.google.gson.GsonBuilder	disableInnerClassSerialization()	null	null	/Users/nima/Desktop/docker/benchmarks/gson/gson/src/main/java/com/google/gson/GsonBuilder.java	excluder
METHOD	com.google.gson.GsonBuilder	setLongSerializationPolicy(com.google.gson.LongSerializationPolicy)	null	null	/Users/nima/Desktop/docker/benchmarks/gson/gson/src/main/java/com/google/gson/GsonBuilder.java	longSerializationPolicy
METHOD	com.google.gson.GsonBuilder	setFieldNamingPolicy(com.google.gson.FieldNamingPolicy)	null	null	/Users/nima/Desktop/docker/benchmarks/gson/gson/src/main/java/com/google/gson/GsonBuilder.java	fieldNamingPolicy
METHOD	com.google.gson.GsonBuilder	setFieldNamingStrategy(com.google.gson.FieldNamingStrategy)	null	null	/Users/nima/Desktop/docker/benchmarks/gson/gson/src/main/java/com/google/gson/GsonBuilder.java	fieldNamingPolicy
METHOD	com.google.gson.GsonBuilder	addSerializationExclusionStrategy(com.google.gson.ExclusionStrategy)	null	null	/Users/nima/Desktop/docker/benchmarks/gson/gson/src/main/java/com/google/gson/GsonBuilder.java	excluder
METHOD	com.google.gson.GsonBuilder	addDeserializationExclusionStrategy(com.google.gson.ExclusionStrategy)	null	null	/Users/nima/Desktop/docker/benchmarks/gson/gson/src/main/java/com/google/gson/GsonBuilder.java	excluder
METHOD	com.google.gson.GsonBuilder	setDateFormat(java.lang.String)	null	null	/Users/nima/Desktop/docker/benchmarks/gson/gson/src/main/java/com/google/gson/GsonBuilder.java	datePattern
METHOD	com.google.gson.internal.bind.JsonTreeReader	close()	null	null	/Users/nima/Desktop/docker/benchmarks/gson/gson/src/main/java/com/google/gson/internal/bind/JsonTreeReader.java	stack
METHOD	com.google.gson.internal.bind.JsonTreeReader	push(java.lang.Object)	null	null	/Users/nima/Desktop/docker/benchmarks/gson/gson/src/main/java/com/google/gson/internal/bind/JsonTreeReader.java	stack
METHOD	com.google.gson.internal.bind.JsonTreeWriter	name(java.lang.String)	null	null	/Users/nima/Desktop/docker/benchmarks/gson/gson/src/main/java/com/google/gson/internal/bind/JsonTreeWriter.java	pendingName
=======
METHOD	com.google.gson.Gson$FutureTypeAdapter	setDelegate(com.google.gson.TypeAdapter<T>)	null	null	/home/nima/Desktop/docker/benchmarks/gson/gson/src/main/java/com/google/gson/Gson.java	delegate
METHOD	com.google.gson.GsonBuilder	setVersion(double)	null	null	/home/nima/Desktop/docker/benchmarks/gson/gson/src/main/java/com/google/gson/GsonBuilder.java	excluder
METHOD	com.google.gson.GsonBuilder	excludeFieldsWithModifiers(int...)	null	null	/home/nima/Desktop/docker/benchmarks/gson/gson/src/main/java/com/google/gson/GsonBuilder.java	excluder
METHOD	com.google.gson.GsonBuilder	excludeFieldsWithoutExposeAnnotation()	null	null	/home/nima/Desktop/docker/benchmarks/gson/gson/src/main/java/com/google/gson/GsonBuilder.java	excluder
METHOD	com.google.gson.GsonBuilder	disableInnerClassSerialization()	null	null	/home/nima/Desktop/docker/benchmarks/gson/gson/src/main/java/com/google/gson/GsonBuilder.java	excluder
METHOD	com.google.gson.GsonBuilder	setLongSerializationPolicy(com.google.gson.LongSerializationPolicy)	null	null	/home/nima/Desktop/docker/benchmarks/gson/gson/src/main/java/com/google/gson/GsonBuilder.java	longSerializationPolicy
METHOD	com.google.gson.GsonBuilder	setFieldNamingPolicy(com.google.gson.FieldNamingPolicy)	null	null	/home/nima/Desktop/docker/benchmarks/gson/gson/src/main/java/com/google/gson/GsonBuilder.java	fieldNamingPolicy
METHOD	com.google.gson.GsonBuilder	setFieldNamingStrategy(com.google.gson.FieldNamingStrategy)	null	null	/home/nima/Desktop/docker/benchmarks/gson/gson/src/main/java/com/google/gson/GsonBuilder.java	fieldNamingPolicy
METHOD	com.google.gson.GsonBuilder	addSerializationExclusionStrategy(com.google.gson.ExclusionStrategy)	null	null	/home/nima/Desktop/docker/benchmarks/gson/gson/src/main/java/com/google/gson/GsonBuilder.java	excluder
METHOD	com.google.gson.GsonBuilder	addDeserializationExclusionStrategy(com.google.gson.ExclusionStrategy)	null	null	/home/nima/Desktop/docker/benchmarks/gson/gson/src/main/java/com/google/gson/GsonBuilder.java	excluder
METHOD	com.google.gson.GsonBuilder	setDateFormat(java.lang.String)	null	null	/home/nima/Desktop/docker/benchmarks/gson/gson/src/main/java/com/google/gson/GsonBuilder.java	datePattern
METHOD	com.google.gson.internal.LinkedTreeMap$Node	setValue(V)	null	null	/home/nima/Desktop/docker/benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedTreeMap.java	value
METHOD	com.google.gson.internal.LinkedTreeMap$LinkedTreeMapIterator	nextNode()	null	null	/home/nima/Desktop/docker/benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedTreeMap.java	next
METHOD	com.google.gson.internal.LinkedTreeMap$LinkedTreeMapIterator	nextNode()	null	null	/home/nima/Desktop/docker/benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedTreeMap.java	lastReturned
METHOD	com.google.gson.stream.JsonWriter	setIndent(java.lang.String)	null	null	/home/nima/Desktop/docker/benchmarks/gson/gson/src/main/java/com/google/gson/stream/JsonWriter.java	separator
METHOD	com.google.gson.stream.JsonWriter	setIndent(java.lang.String)	null	null	/home/nima/Desktop/docker/benchmarks/gson/gson/src/main/java/com/google/gson/stream/JsonWriter.java	separator
METHOD	com.google.gson.stream.JsonWriter	push(int)	null	null	/home/nima/Desktop/docker/benchmarks/gson/gson/src/main/java/com/google/gson/stream/JsonWriter.java	stack
METHOD	com.google.gson.stream.JsonWriter	name(java.lang.String)	null	null	/home/nima/Desktop/docker/benchmarks/gson/gson/src/main/java/com/google/gson/stream/JsonWriter.java	deferredName
METHOD	com.google.gson.stream.JsonReader	push(int)	null	null	/home/nima/Desktop/docker/benchmarks/gson/gson/src/main/java/com/google/gson/stream/JsonReader.java	stack
METHOD	com.google.gson.stream.JsonReader	fillBuffer(int)	null	null	/home/nima/Desktop/docker/benchmarks/gson/gson/src/main/java/com/google/gson/stream/JsonReader.java	limit
METHOD	com.google.gson.stream.JsonReader	fillBuffer(int)	null	null	/home/nima/Desktop/docker/benchmarks/gson/gson/src/main/java/com/google/gson/stream/JsonReader.java	pos
METHOD	com.google.gson.internal.LinkedHashTreeMap$Node	setValue(V)	null	null	/home/nima/Desktop/docker/benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java	value
METHOD	com.google.gson.internal.LinkedHashTreeMap	doubleCapacity()	null	null	/home/nima/Desktop/docker/benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java	table
METHOD	com.google.gson.internal.LinkedHashTreeMap$AvlBuilder	add(com.google.gson.internal.LinkedHashTreeMap.Node<K,V>)	null	null	/home/nima/Desktop/docker/benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java	stack
METHOD	com.google.gson.internal.LinkedHashTreeMap$AvlBuilder	add(com.google.gson.internal.LinkedHashTreeMap.Node<K,V>)	null	null	/home/nima/Desktop/docker/benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java	stack
METHOD	com.google.gson.internal.LinkedHashTreeMap$AvlBuilder	add(com.google.gson.internal.LinkedHashTreeMap.Node<K,V>)	null	null	/home/nima/Desktop/docker/benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java	stack
METHOD	com.google.gson.internal.LinkedHashTreeMap$LinkedTreeMapIterator	nextNode()	null	null	/home/nima/Desktop/docker/benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java	next
METHOD	com.google.gson.internal.LinkedHashTreeMap$LinkedTreeMapIterator	nextNode()	null	null	/home/nima/Desktop/docker/benchmarks/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java	lastReturned
METHOD	com.google.gson.internal.bind.JsonTreeWriter	name(java.lang.String)	null	null	/home/nima/Desktop/docker/benchmarks/gson/gson/src/main/java/com/google/gson/internal/bind/JsonTreeWriter.java	pendingName
METHOD	com.google.gson.internal.bind.JsonTreeReader	close()	null	null	/home/nima/Desktop/docker/benchmarks/gson/gson/src/main/java/com/google/gson/internal/bind/JsonTreeReader.java	stack
METHOD	com.google.gson.internal.bind.JsonTreeReader	push(java.lang.Object)	null	null	/home/nima/Desktop/docker/benchmarks/gson/gson/src/main/java/com/google/gson/internal/bind/JsonTreeReader.java	stack
>>>>>>> base
